"Experiment","Run","Number","Feature","Margs"
"P1",24,"Feature1","troot(x4*x4)",1
"P1",24,"Feature2","x9*troot(x4*x4)",1
"P1",24,"Feature3","(x7*x9)*troot(x4*x4)",1
"P1",24,"Feature4","x8",0.920663843512821
"P1",24,"Feature5","(x9*troot(x4*x4))*x1",0.825565121219626
"P1",24,"Feature6","x1",0.294065712208387
"P1",24,"Feature7","x2",0.114228337944177
"P2",24,"Feature1","troot(x4*x4)",1
"P2",24,"Feature2","x7*troot(x4*x4)",0.999999912043572
"P2",24,"Feature3","x9*troot(x4*x4)",0.99999991204357
"P2",24,"Feature4","p3(x5)",0.999528782668448
"P2",24,"Feature5","x8",0.739910944566918
"P3",24,"Feature1","troot(1+(x4*x4))*x6",1
"P3",24,"Feature2","troot(1+(x4*x4))",1
"P3",24,"Feature3","x5",0.987701140439978
"P3",24,"Feature4","x9",0.866440500297552
"P3",24,"Feature5","x6",0.507085380554013
"P3",24,"Feature6","sin_deg(x5)",0.00330344719450458
"P4",24,"Feature1","troot((x9*x4)*x4)",0.984517350013094
"P4",24,"Feature2","x6*(troot(x4)*troot(x9*x4))",0.984517350012886
"P4",24,"Feature3","p3(x5)",0.984517347157991
"P4",24,"Feature4","x6",0.835620116660086
"P4",24,"Feature5","x7*x7",0.665506039425925
"P4",24,"Feature6","x7",0.469118236540972
"P4",24,"Feature7","x7*x6",0.0224454077745639
"P4",24,"Feature8","troot(x4)*troot(x4)",0.0154826499869056
"P4",24,"Feature9","(troot(x4)*troot(x4))*x6",0.0154826494861999
"P4",24,"Feature10","x4",0.00122838402180658
"P5",24,"Feature1","x4",1
"P5",24,"Feature2","x7",0.99999999999974
"P5",24,"Feature3","p0(x4)",0.999999999726699
"P5",24,"Feature4","x4*troot(x4)",0.999999999691388
"P5",24,"Feature5","x7*x4",0.999999994743583
"P5",24,"Feature6","troot(troot(x4)*((x4*x4)*x6))",0.999999994743583
"P5",24,"Feature7","troot(x4)",0.999999994743583
"P5",24,"Feature8","x4*x4",0.999998787437631
"P5",24,"Feature9","x5*x4",0.919225973064733
"P5",24,"Feature10","x10",0.0790443719756416
"P6",24,"Feature1","troot((x4*x4)*x6)",1
"P6",24,"Feature2","troot(x4*x4)*x8",1
"P6",24,"Feature3","troot(x8)*troot(x4*x4)",0.999999999992315
"P6",24,"Feature4","p3(x5)*x8",0.976631028012955
"P6",24,"Feature5","x8",0.773623201479233
"P6",24,"Feature6","p3(x5)",0.0236692639830658
"P6",24,"Feature7","p3(p3(x5))",0.012053547948116
