"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","x1",1
"S1",1,"Feature2","x2",1
"S1",1,"Feature3","x4",1
"S1",1,"Feature4","x5",1
"S1",1,"Feature5","x6",1
"S1",1,"Feature6","p0(x10)",1
"S1",1,"Feature7","x8",1
"S1",1,"Feature8","x9",1
"S1",1,"Feature9","x11",1
"S1",1,"Feature10","x12",1
"S1",1,"Feature11","x13",1
"S1",1,"Feature12","p0(x11)",1
"S1",1,"Feature13","p0(x1)",0.999999999997448
"S1",1,"Feature14","x10",0.666666666667618
"S1",1,"Feature15","x10",0.666666666666342
"S2",1,"Feature1","x13",1
"S2",1,"Feature2","p0(x9)",1
"S2",1,"Feature3","exp_dbl(x6)",1
"S2",1,"Feature4","x5",1
"S2",1,"Feature5","x6",1
"S2",1,"Feature6","x8",1
"S2",1,"Feature7","x1",1
"S2",1,"Feature8","x12",1
"S2",1,"Feature9","p0(x10)",1
"S2",1,"Feature10","exp_dbl(x13)",1
"S2",1,"Feature11","exp_dbl(x11)",0.999999999999774
"S2",1,"Feature12","x10",0.998467754627157
"S2",1,"Feature13","exp_dbl(x8)",0.986194170312497
"S2",1,"Feature14","x11",0.671267231970553
"S2",1,"Feature15","x11",0.664365695052102
"S3",1,"Feature1","x1",1
"S3",1,"Feature2","x9",1
"S3",1,"Feature3","x5",1
"S3",1,"Feature4","x6",1
"S3",1,"Feature5","troot(1+x11)",1
"S3",1,"Feature6","x8",1
"S3",1,"Feature7","exp_dbl(x11)",1
"S3",1,"Feature8","x11",1
"S3",1,"Feature9","x12",1
"S3",1,"Feature10","x13",1
"S3",1,"Feature11","exp_dbl(x6)",1
"S3",1,"Feature12","x10",0.666666666666886
"S3",1,"Feature13","x4",0.666666666666532
"S3",1,"Feature14","x4",0.666666666666532
"S3",1,"Feature15","x10",0.666666666665825
"S4",1,"Feature1","x2",1
"S4",1,"Feature2","x5*x1",1
"S4",1,"Feature3","x6",1
"S4",1,"Feature4","x8",1
"S4",1,"Feature5","x9",1
"S4",1,"Feature6","x10",1
"S4",1,"Feature7","x11",1
"S4",1,"Feature8","x12",1
"S4",1,"Feature9","x13",1
"S4",1,"Feature10","p0(x6)",1
"S4",1,"Feature11","(x5*x1)*x1",0.999999999997446
"S4",1,"Feature12","x1",0.999999971510256
"S4",1,"Feature13","x4",0.999894389284992
"S4",1,"Feature14","x5",0.666701870238285
"S4",1,"Feature15","x5",0.666649064880781
"S5",1,"Feature1","x1",1
"S5",1,"Feature2","x5",1
"S5",1,"Feature3","x6",1
"S5",1,"Feature4","x8",1
"S5",1,"Feature5","x9",1
"S5",1,"Feature6","x10",1
"S5",1,"Feature7","x11",1
"S5",1,"Feature8","x12",1
"S5",1,"Feature9","x13",1
"S5",1,"Feature10","troot(x8)",1
"S5",1,"Feature11","x11*x13",1
"S5",1,"Feature12","exp_dbl(x9)",0.99999996194527
"S5",1,"Feature13","x2",0.979850280168634
"S5",1,"Feature14","x4",0.673383239944086
"S5",1,"Feature15","x4",0.65323352011272
"S6",1,"Feature1","x1",1
"S6",1,"Feature2","x4",1
"S6",1,"Feature3","x5",1
"S6",1,"Feature4","x6",1
"S6",1,"Feature5","x11*x7",1
"S6",1,"Feature6","x8",1
"S6",1,"Feature7","x9",1
"S6",1,"Feature8","x10",1
"S6",1,"Feature9","x11",1
"S6",1,"Feature10","x12",1
"S6",1,"Feature11","x13",1
"S6",1,"Feature12","x13*x7",1
"S6",1,"Feature13","x13*x12",1
"S6",1,"Feature14","x4*x13",0.999999946664056
"S6",1,"Feature15","x2",0.999999928285225
